,Media,Text,Date,Compound,Positive,Neutral,Negative
366,@FoxNews,Steve Pomerantz on Austin bombings #OutnumberedOT https://t.co/bqG3aTGDOr https://t.co/SgqjLcZG12,Mon Mar 19 17:16:44 +0000 2018,0.0,0.0,1.0,0.0
367,@FoxNews,"JUST IN: Self-driving Uber car kills Arizona pedestrian, police say https://t.co/uNQM5CYNxt",Mon Mar 19 17:10:34 +0000 2018,-0.5829,0.0,0.726,0.274
368,@FoxNews,Austin package bomb attacks timeline https://t.co/88C8w2SrrF,Mon Mar 19 17:07:38 +0000 2018,-0.7269,0.0,0.396,0.604
369,@FoxNews,Facebook apologizes for search suggestions of child pornography videos https://t.co/1GXT4KHsVF (via @christocarbone),Mon Mar 19 17:04:00 +0000 2018,0.3612,0.185,0.815,0.0
370,@FoxNews,How the @WhiteHouse is tackling the opioid epidemic https://t.co/cvascK7QJC,Mon Mar 19 17:00:41 +0000 2018,0.0,0.0,1.0,0.0
371,@FoxNews,"Steven Seagal accusers detail rape, sexual assault allegations against actor https://t.co/qmw3ZPrdrO",Mon Mar 19 16:53:43 +0000 2018,-0.8591,0.0,0.514,0.486
372,@FoxNews,"Austin bombings show 'similarities,' work of 'serial bomber,' police say (via @travfed)  https://t.co/dLVCoqa6Ef",Mon Mar 19 16:35:00 +0000 2018,0.0,0.0,1.0,0.0
373,@FoxNews,Trump Bible heads to museum https://t.co/pFc43cxrXf,Mon Mar 19 16:30:12 +0000 2018,0.0,0.0,1.0,0.0
374,@FoxNews,President Trump heading to New Hampshire to unveil opioid plan https://t.co/ulleIslPOI,Mon Mar 19 16:29:44 +0000 2018,0.0,0.0,1.0,0.0
375,@FoxNews,Air Force One departs Joint Base Andrews en route to New Hampshire.  https://t.co/FbFRHL1rz4,Mon Mar 19 16:24:03 +0000 2018,0.0,0.0,1.0,0.0
376,@FoxNews,DC council member apologizes after blaming snowfall on Jewish bankers controlling climate https://t.co/RL52RxDg1z,Mon Mar 19 16:01:03 +0000 2018,-0.1779,0.15,0.659,0.192
